Survived,Pclass,Age,SibSp,Parch,Fare,Embarked,male,female
0,2,27,1,0,21,0,0,1
0,3,38,0,0,7.8958,0,1,0
0,3,39,1,5,31.275,0,1,0
0,3,18,0,1,14.4542,1,0,1
1,1,39,1,1,110.8833,1,0,1
0,3,2,3,1,21.075,0,1,0
0,3,51,0,0,7.75,0,1,0
1,3,31,0,0,7.925,0,1,0
0,3,41,0,2,20.2125,0,0,1
0,3,23,0,0,9.225,0,1,0
1,3,16,0,0,7.7333,2,0,1
1,3,63,0,0,9.5875,0,0,1
1,2,62,0,0,10.5,0,1,0
1,2,5,1,2,27.75,0,0,1
1,1,42,0,0,227.525,1,0,1
0,3,41,0,5,39.6875,0,0,1
0,3,16,2,0,18,0,1,0
1,3,26,0,0,56.4958,0,1,0
1,1,4,0,2,81.8583,0,1,0
1,3,27,0,0,7.925,0,0,1
0,2,30,0,0,10.5,0,1,0
0,3,28,0,0,22.525,0,1,0
0,3,33,0,0,7.8958,0,1,0
1,2,28,0,0,12.65,0,0,1
0,3,11,0,0,18.7875,1,1,0
0,2,36,0,0,10.5,0,1,0
0,1,46,1,0,61.175,0,1,0
1,1,26,0,0,78.85,0,0,1
1,1,23,3,2,263,0,0,1
1,3,31,0,0,8.6833,0,0,1
0,3,6,4,2,31.275,0,0,1
1,3,38,1,5,31.3875,0,0,1
1,2,22,1,1,29,0,0,1
1,1,58,0,0,146.5208,1,0,1
0,1,28,0,0,47.1,0,1,0
0,3,25,0,0,7.8958,0,1,0
1,1,28,0,0,26.55,0,1,0
0,2,28,0,0,13.5,0,1,0
0,3,49,0,0,0,0,1,0
1,2,42,0,0,13,0,1,0
0,2,27,0,0,26,0,1,0
0,1,39,0,0,0,0,1,0
1,2,28,0,0,13,0,0,1
0,3,21,0,0,8.6625,0,1,0
0,3,2,3,2,27.9,0,0,1
1,3,29,0,0,9.5,0,1,0
1,2,36,0,0,13,0,0,1
0,2,48,0,0,13,0,1,0
0,1,56,0,0,26.55,0,1,0
0,3,30,0,0,8.05,0,1,0
0,3,16,1,3,34.375,0,1,0
1,1,31,0,2,164.8667,0,0,1
1,2,4,1,1,23,0,0,1
0,1,29,0,0,30,0,1,0
0,3,21,0,0,7.8,0,1,0
0,3,20,0,0,9.225,0,1,0
0,1,71,0,0,49.5042,1,1,0
0,3,16,4,1,39.6875,0,1,0
0,2,23,2,1,11.5,0,1,0
0,3,30,1,1,24.15,0,0,1
1,3,0.75,2,1,19.2583,1,0,1
1,1,30,0,0,106.425,1,0,1
0,3,19,0,0,10.1708,0,1,0
1,3,9,1,1,15.9,0,1,0
0,1,61,0,0,32.3208,0,1,0
0,1,47,0,0,38.5,0,1,0
1,1,22,0,0,151.55,0,0,1
1,3,19,0,0,8.05,0,1,0
1,1,27,0,0,30.5,0,1,0
1,1,40,1,1,134.5,1,0,1
0,3,22,0,0,8.05,0,1,0
1,1,49,0,0,25.9292,0,0,1
0,1,54,0,1,77.2875,0,1,0
1,1,35,0,0,512.3292,1,0,1
1,1,19,1,0,91.0792,1,0,1
1,3,30,0,0,12.475,0,0,1
0,3,37,2,0,7.925,0,1,0
0,3,32,0,0,7.8958,0,1,0
1,1,37,1,1,52.5542,0,1,0
1,1,16,0,1,57.9792,1,0,1
0,3,18,1,1,7.8542,0,1,0
1,2,4,2,1,39,0,0,1
0,3,65,0,0,7.75,2,1,0
0,3,26,0,0,8.05,0,1,0
0,3,9,3,2,27.9,0,0,1
1,1,56,0,0,35.5,1,1,0
